filename,observed_rating,predicted_rating
26_0_0_20170102233359482.jpg.chip.jpg,3.0000,2.8444
26_0_0_20170103181224784.jpg.chip.jpg,3.0000,2.5990
26_0_0_20170103235356420.jpg.chip.jpg,4.0000,4.0468
26_0_0_20170103235457445.jpg.chip.jpg,3.0000,2.9789
26_0_0_20170103235702988.jpg.chip.jpg,3.0000,3.5026
26_0_0_20170104165824281.jpg.chip.jpg,3.0000,2.7548
26_0_0_20170104172735675.jpg.chip.jpg,3.0000,3.3057
26_0_0_20170104200830216.jpg.chip.jpg,2.0000,3.1820
26_0_0_20170104201228553.jpg.chip.jpg,2.0000,3.1495
26_0_0_20170104230421569.jpg.chip.jpg,4.5000,3.7879
26_0_0_20170105163435235.jpg.chip.jpg,3.0000,2.7298
26_0_0_20170105164133579.jpg.chip.jpg,2.0000,2.4894
26_0_0_20170105183712607.jpg.chip.jpg,3.0000,2.6553
26_0_0_20170113133551354.jpg.chip.jpg,3.5000,4.5309
26_0_0_20170113135244994.jpg.chip.jpg,4.0000,5.1015
26_0_0_20170113135319121.jpg.chip.jpg,3.0000,4.0304
26_0_0_20170113182141220.jpg.chip.jpg,3.0000,3.3663
26_0_0_20170113210127400.jpg.chip.jpg,2.0000,2.9071
26_0_0_20170114032951327.jpg.chip.jpg,3.5000,3.2048
26_0_0_20170114034218562.jpg.chip.jpg,3.5000,3.6585
26_0_0_20170116180418155.jpg.chip.jpg,4.0000,4.3256
26_0_0_20170116181255495.jpg.chip.jpg,4.0000,3.4531
26_0_0_20170116182307851.jpg.chip.jpg,3.0000,2.9686
26_0_0_20170116192554607.jpg.chip.jpg,3.0000,4.0858
26_0_0_20170116193316697.jpg.chip.jpg,4.0000,3.7102
26_0_0_20170116193409254.jpg.chip.jpg,3.0000,2.7859
26_0_0_20170116200900839.jpg.chip.jpg,2.0000,1.8545
26_0_0_20170116203116520.jpg.chip.jpg,2.0000,2.6749
26_0_0_20170116203328402.jpg.chip.jpg,3.0000,2.9224
26_0_0_20170116203343708.jpg.chip.jpg,2.0000,3.0403
26_0_0_20170116204056556.jpg.chip.jpg,5.0000,3.7805
26_0_0_20170116204100913.jpg.chip.jpg,3.5000,3.5947
26_0_0_20170116205232826.jpg.chip.jpg,3.0000,3.2129
26_0_0_20170116205259187.jpg.chip.jpg,4.0000,2.9902
26_0_0_20170116210147173.jpg.chip.jpg,3.0000,2.9731
26_0_0_20170116210456112.jpg.chip.jpg,1.5000,3.6442
26_0_0_20170116212048433.jpg.chip.jpg,3.0000,3.2070
26_0_0_20170116215521714.jpg.chip.jpg,3.0000,2.8054
26_0_0_20170116215855605.jpg.chip.jpg,2.0000,3.2136
26_0_0_20170116224759206.jpg.chip.jpg,2.5000,3.1607
26_0_0_20170116224814179.jpg.chip.jpg,3.0000,3.2538
26_0_0_20170116224821430.jpg.chip.jpg,3.0000,3.3869
26_0_0_20170116224826344.jpg.chip.jpg,2.0000,2.6961
26_0_0_20170116224830372.jpg.chip.jpg,2.5000,3.0511
26_0_0_20170116224849492.jpg.chip.jpg,4.5000,2.9719
26_0_0_20170116224921695.jpg.chip.jpg,3.0000,2.6742
26_0_0_20170116224934139.jpg.chip.jpg,3.0000,3.5913
26_0_0_20170116225120267.jpg.chip.jpg,4.0000,3.2258
26_0_0_20170116232418087.jpg.chip.jpg,3.0000,3.2330
26_0_0_20170116232619054.jpg.chip.jpg,4.0000,3.6971
26_0_0_20170116232936514.jpg.chip.jpg,2.0000,2.7582
26_0_0_20170116233047853.jpg.chip.jpg,2.0000,3.1250
26_0_0_20170116233436547.jpg.chip.jpg,4.5000,3.3711
26_0_0_20170116235217494.jpg.chip.jpg,3.5000,3.0143
26_0_0_20170117000343982.jpg.chip.jpg,3.0000,3.6114
26_0_0_20170117003310493.jpg.chip.jpg,2.5000,3.7906
26_0_0_20170117003319885.jpg.chip.jpg,3.0000,2.8132
26_0_0_20170117003324706.jpg.chip.jpg,4.0000,4.4966
26_0_0_20170117003342340.jpg.chip.jpg,4.0000,3.4042
26_0_0_20170117090952435.jpg.chip.jpg,4.0000,3.5319
26_0_0_20170117091143436.jpg.chip.jpg,2.5000,2.4125
26_0_0_20170117091206389.jpg.chip.jpg,3.0000,3.2573
