filename,rating_1,rating_2
26_0_0_20170102233359482.jpg.chip.jpg,3,2
26_0_0_20170103181224784.jpg.chip.jpg,3,3
26_0_0_20170103235356420.jpg.chip.jpg,4,4
26_0_0_20170103235457445.jpg.chip.jpg,2,3
26_0_0_20170103235702988.jpg.chip.jpg,3,3
26_0_0_20170104165824281.jpg.chip.jpg,2,2
26_0_0_20170104172735675.jpg.chip.jpg,2,2
26_0_0_20170104200830216.jpg.chip.jpg,2,2
26_0_0_20170104201228553.jpg.chip.jpg,2,2
26_0_0_20170104230421569.jpg.chip.jpg,3,3
26_0_0_20170105163435235.jpg.chip.jpg,2,3
26_0_0_20170105164133579.jpg.chip.jpg,1,2
26_0_0_20170105183712607.jpg.chip.jpg,2,2
26_0_0_20170113133551354.jpg.chip.jpg,3,3
26_0_0_20170113135244994.jpg.chip.jpg,4,4
26_0_0_20170113135319121.jpg.chip.jpg,2,3
26_0_0_20170113182141220.jpg.chip.jpg,3,3
26_0_0_20170113210127400.jpg.chip.jpg,2,2
26_0_0_20170114032951327.jpg.chip.jpg,3,3
26_0_0_20170114034218562.jpg.chip.jpg,3,3
26_0_0_20170116180418155.jpg.chip.jpg,3,3
26_0_0_20170116181255495.jpg.chip.jpg,3,3
26_0_0_20170116182307851.jpg.chip.jpg,2,2
26_0_0_20170116192554607.jpg.chip.jpg,3,3
26_0_0_20170116193316697.jpg.chip.jpg,3,3
26_0_0_20170116193409254.jpg.chip.jpg,2,3
26_0_0_20170116200900839.jpg.chip.jpg,2,2
26_0_0_20170116203116520.jpg.chip.jpg,2,2
26_0_0_20170116203328402.jpg.chip.jpg,2,2
26_0_0_20170116203343708.jpg.chip.jpg,2,2
26_0_0_20170116204056556.jpg.chip.jpg,4,3
26_0_0_20170116204100913.jpg.chip.jpg,2,2
26_0_0_20170116205232826.jpg.chip.jpg,3,2
26_0_0_20170116205259187.jpg.chip.jpg,2,3
26_0_0_20170116210147173.jpg.chip.jpg,2,3
26_0_0_20170116210456112.jpg.chip.jpg,2,3
26_0_0_20170116212048433.jpg.chip.jpg,1,1
26_0_0_20170116215521714.jpg.chip.jpg,3,2
26_0_0_20170116215855605.jpg.chip.jpg,2,2
26_0_0_20170116224759206.jpg.chip.jpg,2,2
26_0_0_20170116224814179.jpg.chip.jpg,3,3
26_0_0_20170116224821430.jpg.chip.jpg,3,3
26_0_0_20170116224826344.jpg.chip.jpg,2,2
26_0_0_20170116224830372.jpg.chip.jpg,2,2
26_0_0_20170116224849492.jpg.chip.jpg,4,3
26_0_0_20170116224921695.jpg.chip.jpg,3,3
26_0_0_20170116224934139.jpg.chip.jpg,3,3
26_0_0_20170116225120267.jpg.chip.jpg,3,3
26_0_0_20170116232418087.jpg.chip.jpg,2,2
26_0_0_20170116232619054.jpg.chip.jpg,2,3
26_0_0_20170116232936514.jpg.chip.jpg,2,2
26_0_0_20170116233047853.jpg.chip.jpg,2,2
26_0_0_20170116233436547.jpg.chip.jpg,3,3
26_0_0_20170116235217494.jpg.chip.jpg,2,2
26_0_0_20170117000343982.jpg.chip.jpg,2,3
26_0_0_20170117003310493.jpg.chip.jpg,2,2
26_0_0_20170117003319885.jpg.chip.jpg,3,2
26_0_0_20170117003324706.jpg.chip.jpg,3,3
26_0_0_20170117003342340.jpg.chip.jpg,4,3
26_0_0_20170117090952435.jpg.chip.jpg,2,2
26_0_0_20170117091143436.jpg.chip.jpg,2,2
26_0_0_20170117091206389.jpg.chip.jpg,2,2
26_0_0_20170117091213670.jpg.chip.jpg,1,1
26_0_0_20170117091437385.jpg.chip.jpg,2,2
26_0_0_20170117091440776.jpg.chip.jpg,3,3
26_0_0_20170117091532995.jpg.chip.jpg,3,3
26_0_0_20170117120944631.jpg.chip.jpg,2,2
26_0_0_20170117140938167.jpg.chip.jpg,5,5
26_0_0_20170117144510833.jpg.chip.jpg,5,5
26_0_0_20170117144522395.jpg.chip.jpg,5,5
26_0_0_20170117144704233.jpg.chip.jpg,3,5
26_0_0_20170117152311509.jpg.chip.jpg,4,3
26_0_0_20170117152347004.jpg.chip.jpg,4,4
26_0_0_20170117152350379.jpg.chip.jpg,3,2
26_0_0_20170117152636524.jpg.chip.jpg,3,2
26_0_0_20170117152914653.jpg.chip.jpg,3,3
26_0_0_20170117153056836.jpg.chip.jpg,3,3
26_0_0_20170117153343071.jpg.chip.jpg,1,1
26_0_0_20170117153645909.jpg.chip.jpg,3,3
26_0_0_20170117154314150.jpg.chip.jpg,4,3
26_0_0_20170117154331222.jpg.chip.jpg,3,4
26_0_0_20170117155115749.jpg.chip.jpg,2,2
26_0_0_20170117170706453.jpg.chip.jpg,2,2
26_0_0_20170117170723363.jpg.chip.jpg,3,3
26_0_0_20170117170940347.jpg.chip.jpg,3,3
26_0_0_20170117171702618.jpg.chip.jpg,3,4
26_0_0_20170117171708077.jpg.chip.jpg,4,4
26_0_0_20170117171714931.jpg.chip.jpg,3,3
26_0_0_20170117171750643.jpg.chip.jpg,4,3
26_0_0_20170117171759796.jpg.chip.jpg,3,3
26_0_0_20170117171909243.jpg.chip.jpg,4,3
26_0_0_20170117171921227.jpg.chip.jpg,3,3
26_0_0_20170117171932498.jpg.chip.jpg,4,3
26_0_0_20170117172021611.jpg.chip.jpg,3,4
26_0_0_20170117172035787.jpg.chip.jpg,2,2
26_0_0_20170117172056035.jpg.chip.jpg,4,4
26_0_0_20170117172106787.jpg.chip.jpg,3,4
26_0_0_20170117172146059.jpg.chip.jpg,4,4
26_0_0_20170117172151444.jpg.chip.jpg,3,3
26_0_0_20170117172153925.jpg.chip.jpg,5,4
26_0_0_20170117172157291.jpg.chip.jpg,3,3
26_0_0_20170117172222445.jpg.chip.jpg,2,2
26_0_0_20170117172431020.jpg.chip.jpg,2,3
26_0_0_20170117172603774.jpg.chip.jpg,3,3
26_0_0_20170117172620391.jpg.chip.jpg,3,3
26_0_0_20170117172624038.jpg.chip.jpg,3,3
26_0_0_20170117172649700.jpg.chip.jpg,4,4
26_0_0_20170117172704775.jpg.chip.jpg,3,3
26_0_0_20170117172824779.jpg.chip.jpg,3,3
26_0_0_20170117172830773.jpg.chip.jpg,4,4
26_0_0_20170117172856799.jpg.chip.jpg,2,2
26_0_0_20170117172928270.jpg.chip.jpg,3,3
26_0_0_20170117172931573.jpg.chip.jpg,3,2
26_0_0_20170117173239213.jpg.chip.jpg,2,1
26_0_0_20170117173244372.jpg.chip.jpg,3,3
26_0_0_20170117173443951.jpg.chip.jpg,3,3
26_0_0_20170117173447156.jpg.chip.jpg,2,2
